Property_ID,City,Location,BHK,Size_sqft,Bathrooms,Floor,Total_Floors,Furnishing,Property_Age,Parking,Rent
1,Bangalore,Whitefield,2,1200,2,3,10,Semi-Furnished,5,1,25000
2,Mumbai,Andheri,3,1500,3,5,15,Furnished,2,1,55000
3,Hyderabad,Gachibowli,1,650,1,2,5,Unfurnished,6,0,12000
4,Chennai,Velachery,2,1100,2,4,8,Semi-Furnished,4,1,22000
5,Delhi,Dwarka,3,1800,3,6,12,Furnished,3,2,60000
6,Pune,Hinjewadi,2,1000,2,7,14,Semi-Furnished,2,1,21000
7,Kolkata,New Town,2,900,2,3,6,Unfurnished,7,0,18000
8,Bangalore,Electronic City,1,550,1,1,4,Unfurnished,8,0,10000
9,Mumbai,Powai,2,1300,2,10,20,Furnished,1,1,48000
10,Hyderabad,Madhapur,3,1600,3,8,15,Semi-Furnished,3,2,40000
